Ite,EvalCount,BestEval,EvalCount,BestEval
Ite,9561,3.154022e+02,4895,3.278010e+02
Ite,16298,2.900629e+02,4876,3.405024e+02
Ite,22873,2.677390e+02,4692,3.141715e+02
Ite,29522,2.677271e+02,4844,3.359768e+02
Ite,36084,2.628680e+02,4748,3.279835e+02
Ite,42738,2.628680e+02,4797,3.056076e+02
Ite,49206,2.628680e+02,4655,3.193766e+02
Ite,55728,2.571783e+02,4711,3.244603e+02
Ite,62164,2.571701e+02,4631,3.314219e+02
Ite,68805,2.452431e+02,4833,3.275047e+02
Ite,75264,2.452396e+02,4654,3.015432e+02
Ite,81887,2.452384e+02,4818,3.237720e+02
Ite,88380,2.452384e+02,4688,3.463922e+02
Ite,95273,2.452384e+02,5088,3.031998e+02
Ite,101919,2.452384e+02,4841,2.954099e+02
Ite,108816,2.452384e+02,5092,3.176202e+02
Ite,115576,2.452384e+02,4937,3.050961e+02
Ite,122248,2.452384e+02,4865,3.008079e+02
Ite,128893,2.452384e+02,4836,3.390665e+02
Ite,135574,2.452384e+02,4798,2.982161e+02
Ite,142301,2.452384e+02,4911,2.962114e+02
Ite,149012,2.452384e+02,4898,2.955750e+02
Ite,155661,2.452384e+02,4841,2.910167e+02
Ite,162174,2.452384e+02,4708,3.138734e+02
Ite,168716,2.452384e+02,4704,3.240495e+02
Ite,175252,2.452384e+02,4731,3.077951e+02
Ite,181926,2.452384e+02,4859,3.092811e+02
Ite,188587,2.452384e+02,4841,3.002271e+02
Ite,195521,2.452384e+02,5129,3.235790e+02
Ite,202129,2.452384e+02,4754,3.104006e+02
Ite,208764,2.452384e+02,4821,3.256943e+02
Ite,215215,2.452384e+02,4646,3.087256e+02
Ite,221887,2.452384e+02,4867,3.056270e+02
Ite,228253,2.452384e+02,4561,3.343749e+02
Ite,234899,2.452384e+02,4841,3.118106e+02
Ite,241715,2.452384e+02,4978,3.126488e+02
Ite,248122,2.452384e+02,4595,2.999107e+02
Ite,254818,2.452384e+02,4891,2.992601e+02
Ite,261504,2.452384e+02,4853,2.991840e+02
Ite,268047,2.452384e+02,4720,2.876930e+02
Ite,274787,2.452384e+02,4917,3.093498e+02
Ite,281255,2.452384e+02,4642,3.318006e+02
Ite,288141,2.452384e+02,5067,3.089385e+02
Ite,294952,2.452384e+02,5005,2.873925e+02
Ite,301709,2.452384e+02,4930,2.763738e+02
Ite,308528,2.452384e+02,4999,2.805325e+02
Ite,315309,2.452384e+02,4971,3.108395e+02
Ite,322056,2.439514e+02,4872,3.097338e+02
Ite,328888,2.421105e+02,5023,2.914542e+02
Ite,335773,2.420734e+02,5080,3.081223e+02
Ite,342493,2.420734e+02,4892,2.897482e+02
Ite,349079,2.420734e+02,4733,2.988573e+02
Ite,355979,2.420734e+02,5061,3.040298e+02
Ite,362889,2.420734e+02,5096,2.581698e+02
Ite,369630,2.362988e+02,4928,2.975380e+02
Ite,376187,2.362988e+02,4727,3.277848e+02
Ite,382995,2.362988e+02,4921,2.751683e+02
Ite,389768,2.362988e+02,4921,2.712215e+02
Ite,396312,2.304722e+02,4720,2.535819e+02
Ite,403099,2.304722e+02,4973,3.014459e+02
Ite,409858,2.304722e+02,4949,2.838562e+02
Ite,416771,2.304722e+02,5105,2.704605e+02
Ite,423674,2.304722e+02,5088,2.672099e+02
Ite,430407,2.304722e+02,4914,2.539781e+02
Ite,437086,2.158992e+02,4858,2.944480e+02
Ite,443758,2.158992e+02,4830,2.632345e+02
Ite,450628,2.055833e+02,5010,2.806651e+02
Ite,457559,2.055833e+02,5063,2.596366e+02
Ite,464278,1.932579e+02,4876,2.359061e+02
Ite,471038,1.932579e+02,4936,2.338866e+02
Ite,477811,1.932579e+02,4949,2.658956e+02
Ite,484414,1.932579e+02,4737,2.423382e+02
Ite,491331,1.932579e+02,5086,2.122868e+02
Ite,498201,1.754578e+02,5055,2.198011e+02
Ite,505013,1.754578e+02,4998,2.737740e+02
Ite,511763,1.754578e+02,4904,2.538375e+02
Ite,518734,1.754578e+02,5144,2.323458e+02
Ite,525888,1.754578e+02,5334,2.299388e+02
Ite,532671,1.754578e+02,4967,1.920126e+02
Ite,539486,1.725086e+02,5003,2.139362e+02
Ite,546438,1.595469e+02,5138,2.752232e+02
Ite,553327,1.587202e+02,5079,2.212695e+02
Ite,560012,1.522202e+02,4876,2.348858e+02
Ite,566957,1.522202e+02,5118,2.080559e+02
Ite,573897,1.380004e+02,5119,2.238319e+02
Ite,580630,1.377999e+02,4928,2.215404e+02
Ite,587426,1.376234e+02,4991,2.217711e+02
Ite,594318,1.376234e+02,5055,2.002343e+02
Ite,601010,1.376234e+02,4833,1.915620e+02
Ite,608024,1.376234e+02,5174,2.060384e+02
Ite,614852,1.376234e+02,5019,1.684077e+02
Ite,621605,1.376234e+02,4942,2.151334e+02
Ite,628202,1.376234e+02,4779,1.739027e+02
Ite,635166,1.087201e+02,5096,1.297778e+02
Ite,642243,1.067879e+02,5259,1.642195e+02
Ite,649258,1.067879e+02,5165,1.497085e+02
Ite,656063,1.025228e+02,4999,1.708328e+02
Ite,662861,9.177297e+01,4974,1.402627e+02
Ite,669774,8.110947e+01,5088,9.278177e+01
Ite,676493,2.281583e+01,4889,3.502821e+01
Ite,683508,2.220203e+01,5210,9.666392e+01
Ite,690597,-1.135289e+01,5276,2.040431e+00
Ite,697804,-1.200075e+01,5402,5.484846e+00
Ite,704648,-7.213089e+01,5005,-2.044045e+01
Ite,711746,-8.513747e+01,5289,-5.182608e+01
Ite,718970,-8.513747e+01,5400,3.446552e+01
Ite,726005,-8.862238e+01,5217,-6.491787e+00
Ite,733011,-1.064914e+02,5196,-3.621437e+01
Ite,739961,-1.064914e+02,5122,3.831075e+01
Ite,747035,-1.064914e+02,5259,-3.920793e+01
Ite,753992,-1.064914e+02,5144,3.035338e+00
Ite,760704,-1.081774e+02,4897,-2.596437e+01
Ite,767641,-1.444819e+02,5125,-9.404115e+01
Ite,774456,-1.444819e+02,4992,-1.063979e+01
Ite,781606,-1.644668e+02,5345,-1.417187e+02
Ite,788850,-2.113118e+02,5404,-1.187277e+02
Ite,795798,-2.147118e+02,5137,-1.633703e+02
Ite,803066,-2.457242e+02,5357,-1.995136e+02
Ite,809993,-2.575092e+02,5108,-2.183887e+02
Ite,817284,-3.053141e+02,5458,-2.782174e+02
Ite,824430,-3.479585e+02,5295,-2.172011e+02
Ite,831426,-3.908583e+02,5188,-3.615649e+02
Ite,838529,-4.377626e+02,5265,-4.072450e+02
Ite,845546,-4.566686e+02,5204,-4.130843e+02
Ite,852598,-4.771766e+02,5230,-4.436501e+02
Ite,859564,-4.843048e+02,5160,-4.492994e+02
Ite,867081,-4.936492e+02,5702,-4.372479e+02
Ite,874381,-5.377117e+02,5481,-4.994605e+02
Ite,881548,-5.699119e+02,5349,-5.037017e+02
Ite,888633,-5.869350e+02,5239,-5.448691e+02
Ite,895718,-6.499062e+02,5260,-6.055562e+02
Ite,902778,-6.524627e+02,5255,-5.574739e+02
Ite,909925,-6.650157e+02,5284,-5.138550e+02
Ite,917074,-7.052361e+02,5326,-5.874059e+02
Ite,924446,-7.155252e+02,5562,-6.392207e+02
Ite,931823,-7.263246e+02,5551,-6.685937e+02
Ite,939082,-7.873768e+02,5373,-6.335506e+02
Ite,946321,-8.015373e+02,5431,-7.376884e+02
Ite,953637,-9.048129e+02,5423,-8.376280e+02
Ite,961190,-9.135591e+02,5743,-7.088888e+02
Ite,968426,-9.556503e+02,5401,-8.812272e+02
Ite,975586,-1.099217e+03,5326,-1.020851e+03
Ite,982942,-1.170718e+03,5496,-9.535281e+02
Ite,990484,-1.267107e+03,5736,-1.180192e+03
Ite,998212,-1.364407e+03,5881,-1.272837e+03
Ite,1005462,-1.420764e+03,5388,-1.011709e+03
Ite,1012631,-1.435286e+03,5355,-1.149850e+03
Ite,1020099,-1.446969e+03,5659,-1.189438e+03
Ite,1027360,-1.534382e+03,5456,-1.424112e+03
Ite,1034312,-1.550182e+03,5142,-1.321845e+03
Ite,1041638,-1.558258e+03,5516,-1.342580e+03
Ite,1048985,-1.562194e+03,5542,-1.368746e+03
Ite,1056028,-1.589803e+03,5238,-1.462947e+03
Ite,1063326,-2.005674e+03,5461,-1.874526e+03
Ite,1070803,-2.022758e+03,5663,-1.678176e+03
Ite,1077966,-2.036848e+03,5353,-1.879747e+03
Ite,1085180,-2.225546e+03,5397,-2.079244e+03
Ite,1092876,-2.231889e+03,5891,-2.065920e+03
Ite,1100334,-2.431405e+03,5639,-2.272972e+03
Ite,1107655,-2.722052e+03,5412,-2.556874e+03
Ite,1114975,-2.980069e+03,5498,-2.807150e+03
Ite,1122357,-3.312987e+03,5562,-3.131284e+03
Ite,1129718,-3.382694e+03,5520,-2.980450e+03
Ite,1137165,-3.393974e+03,5637,-3.031821e+03
Ite,1144686,-3.524286e+03,5713,-3.315024e+03
Ite,1151920,-3.585379e+03,5396,-3.052677e+03
Ite,1159349,-3.600066e+03,5621,-3.366047e+03
Ite,1166771,-3.632308e+03,5605,-3.229697e+03
Ite,1174299,-3.759890e+03,5700,-3.512228e+03
Ite,1181969,-4.373126e+03,5857,-4.114535e+03
Ite,1189543,-4.395202e+03,5760,-4.018756e+03
Ite,1196979,-4.434174e+03,5616,-3.354857e+03
Ite,1204401,-4.989042e+03,5613,-4.695985e+03
Ite,1211772,-6.301982e+03,5550,-5.996677e+03
Ite,1219065,-6.366910e+03,5443,-5.715620e+03
Ite,1226552,-6.931863e+03,5674,-6.599546e+03
Ite,1234067,-6.965587e+03,5690,-6.607713e+03
Ite,1241390,-7.012774e+03,5487,-6.304443e+03
Ite,1249239,-7.038692e+03,6040,-6.639514e+03
Ite,1256738,-7.874075e+03,5679,-7.476136e+03
Ite,1264144,-8.305892e+03,5575,-7.887566e+03
Ite,1271503,-8.382651e+03,5524,-7.078289e+03
Ite,1278851,-8.888721e+03,5538,-8.426112e+03
Ite,1286415,-1.043643e+04,5722,-9.949673e+03
Ite,1293795,-1.047397e+04,5567,-9.960096e+03
Ite,1301562,-1.205463e+04,5945,-1.151046e+04
Ite,1309001,-1.249719e+04,5624,-1.191933e+04
Ite,1316782,-1.254192e+04,5967,-1.130745e+04
Ite,1324624,-1.316848e+04,6015,-1.251799e+04
Ite,1332265,-1.576179e+04,5815,-1.507199e+04
Ite,1340037,-1.582770e+04,5955,-1.357552e+04
Ite,1347374,-1.714241e+04,5532,-1.636783e+04
Ite,1355036,-1.721021e+04,5817,-1.369719e+04
Ite,1362556,-1.727265e+04,5705,-1.519858e+04
Ite,1370356,-1.731255e+04,5995,-1.590793e+04
Ite,1377934,-1.888960e+04,5770,-1.794957e+04
Ite,1385510,-1.974073e+04,5748,-1.875843e+04
Ite,1393361,-1.980869e+04,6028,-1.791506e+04
Ite,1401217,-1.985998e+04,6047,-1.669908e+04
Ite,1409157,-2.282580e+04,6130,-2.171033e+04
Ite,1416752,-2.469085e+04,5769,-2.352810e+04
Ite,1424434,-2.475899e+04,5864,-2.237337e+04
Ite,1432526,-2.482602e+04,6260,-2.281874e+04
Ite,1440248,-2.572584e+04,5917,-2.441369e+04
Ite,1447822,-2.584945e+04,5676,-2.274827e+04
Ite,1455750,-2.589775e+04,6123,-2.408872e+04
Ite,1463279,-2.733896e+04,5724,-2.588196e+04
Ite,1471475,-2.772785e+04,6304,-2.621858e+04
Ite,1479219,-2.779966e+04,5923,-2.555221e+04
Ite,1487146,-2.786856e+04,6118,-2.407421e+04
Ite,1494606,-2.791857e+04,5655,-2.568180e+04
Ite,1502677,-2.829808e+04,6266,-2.657735e+04
Ite,1510423,-2.837624e+04,5918,-2.551901e+04
Ite,1518389,-2.842976e+04,6156,-2.558975e+04
Ite,1525888,-3.195983e+04,5689,-3.009227e+04
Ite,1533759,-3.205182e+04,6008,-2.606373e+04
Ite,1541642,-3.361232e+04,6039,-3.164184e+04
Ite,1549364,-3.532642e+04,5864,-3.329534e+04
Ite,1557311,-3.767636e+04,6099,-3.557223e+04
Ite,1565441,-3.779107e+04,6320,-3.208464e+04
Ite,1573452,-3.787529e+04,6198,-3.052473e+04
Ite,1581343,-4.162931e+04,6086,-3.929155e+04
Ite,1589296,-4.465752e+04,6125,-4.223550e+04
Ite,1597427,-4.478825e+04,6295,-3.501711e+04
Ite,1605174,-4.489295e+04,5934,-4.209335e+04
Ite,1612906,-4.497356e+04,5927,-3.542209e+04
Ite,1620693,-4.643976e+04,5965,-4.367695e+04
Ite,1628606,-4.951786e+04,6062,-4.666640e+04
Ite,1636548,-4.967486e+04,6112,-3.849192e+04
Ite,1644552,-4.977042e+04,6199,-4.623302e+04
Ite,1652401,-4.985731e+04,6042,-4.476891e+04
Ite,1660222,-5.647384e+04,6016,-5.326110e+04
Ite,1667890,-6.728813e+04,5849,-6.398047e+04
Ite,1675965,-6.743348e+04,6246,-6.186327e+04
Ite,1683959,-7.327020e+04,6176,-6.974398e+04
Ite,1691811,-7.678740e+04,6016,-7.313622e+04
Ite,1699641,-7.696723e+04,6018,-6.935943e+04
Ite,1707797,-7.710712e+04,6347,-7.233503e+04
Ite,1715485,-7.727053e+04,5883,-7.321926e+04
Ite,1723964,-7.747243e+04,6654,-6.168959e+04
Ite,1732003,-7.760210e+04,6234,-5.759460e+04
Ite,1739745,-7.771700e+04,5937,-6.240134e+04
Ite,1747678,-7.781901e+04,6125,-7.106309e+04
Ite,1755400,-7.790519e+04,5917,-7.295723e+04
Ite,1763228,-7.797772e+04,6023,-7.322177e+04
Ite,1771379,-7.804391e+04,6334,-6.665680e+04
Ite,1779213,-7.816475e+04,6007,-7.191747e+04
Ite,1787322,-7.824937e+04,6294,-6.103441e+04
Ite,1795122,-7.831083e+04,5988,-6.331774e+04
Ite,1803240,-7.882177e+04,6309,-7.374659e+04
Ite,1811342,-9.353507e+04,6278,-8.837668e+04
Ite,1819393,-9.368645e+04,6220,-8.498766e+04
Ite,1827519,-9.380152e+04,6312,-8.394363e+04
Ite,1835491,-1.070898e+05,6167,-1.016284e+05
Ite,1843802,-1.072393e+05,6492,-8.291805e+04
Ite,1851831,-1.073431e+05,6224,-9.828151e+04
Ite,1859737,-1.093410e+05,6101,-1.035676e+05
Ite,1867854,-1.149801e+05,6290,-1.090812e+05
Ite,1876074,-1.232897e+05,6374,-1.172275e+05
Ite,1884036,-1.235365e+05,6085,-9.421307e+04
Ite,1892091,-1.237156e+05,6250,-1.128521e+05
Ite,1900255,-1.419450e+05,6359,-1.353452e+05
Ite,1908288,-1.421590e+05,6219,-1.178873e+05
Ite,1916210,-1.469250e+05,6112,-1.399500e+05
Ite,1924313,-1.471567e+05,6292,-1.348520e+05
Ite,1932124,-1.473650e+05,5990,-1.215030e+05
Ite,1940095,-1.475567e+05,6159,-1.371480e+05
Ite,1948299,-1.507380e+05,6399,-1.430308e+05
Ite,1956287,-1.509853e+05,6109,-1.341100e+05
Ite,1964133,-1.599663e+05,6040,-1.518910e+05
Ite,1972101,-1.602290e+05,6132,-1.391469e+05
Ite,1980304,-1.788463e+05,6393,-1.703528e+05
Ite,1988248,-1.947439e+05,6113,-1.860013e+05
Ite,1996147,-1.950561e+05,6083,-1.855886e+05
Ite,2004369,-1.953375e+05,6404,-1.704001e+05
Ite,2012599,-1.956031e+05,6418,-1.811811e+05
Ite,2020617,-2.009181e+05,6213,-1.911527e+05
Ite,2028636,-2.039225e+05,6188,-1.938860e+05
Ite,2036478,-2.042859e+05,6015,-1.913270e+05
Ite,2044690,-2.097972e+05,6378,-1.991301e+05
Ite,2052984,-2.101739e+05,6465,-1.881617e+05
Ite,2061617,-2.215618e+05,6785,-2.102067e+05
Ite,2069602,-2.220004e+05,6143,-1.823688e+05
Ite,2077662,-2.223538e+05,6255,-1.951498e+05
Ite,2085845,-2.401839e+05,6368,-2.277682e+05
Ite,2094093,-2.580605e+05,6388,-2.452546e+05
Ite,2102151,-2.585793e+05,6199,-2.049441e+05
Ite,2110294,-2.590008e+05,6338,-2.220871e+05
Ite,2118447,-2.949903e+05,6339,-2.809200e+05
Ite,2126558,-2.998610e+05,6266,-2.853289e+05
Ite,2134679,-3.004583e+05,6284,-2.824322e+05
Ite,2142472,-3.009566e+05,5987,-2.530985e+05
Ite,2150845,-3.305011e+05,6568,-3.144791e+05
Ite,2159044,-3.310802e+05,6347,-3.127791e+05
Ite,2167000,-3.319924e+05,6142,-3.149446e+05
Ite,2175158,-3.326037e+05,6328,-2.973065e+05
Ite,2183427,-3.331397e+05,6460,-2.922630e+05
Ite,2191596,-3.427612e+05,6357,-3.241309e+05
Ite,2199685,-3.433908e+05,6246,-3.221985e+05
Ite,2207824,-3.576288e+05,6333,-3.378992e+05
Ite,2215986,-3.582937e+05,6332,-2.632208e+05
Ite,2223937,-3.588740e+05,6116,-3.267558e+05
